objectid,parentid,title,creator,date,object type,description,subject,current location,former location,format,display_template,object_location,image_small,image_thumb,object_transcript,notes,@
id_2101,,Transferred Membership Card,,1943-10-18,membership card,"Dorothy G. (Mrs. Frank) Fisher; Father: Edward, Mother: Lydia, Husband: Frank Fisher",Members; Family; Birthday; Conversion; Baptism; Holy Spirit Baptism; Highway; Ministry; Address; Phone; Inactive; Transfer,,Membership Card Drawers,image/png,image,/objects/membershipcards2/id_2101.png,/objects/small/id_2101.png,/objects/thumbs/id_2101.png,,,
id_2102,,Transferred Membership Card,,1971-04-04,membership card,Johanna M. Fitzmaurice; Husband: Victor Fitzmaurice,Members; Family; Birthday; Conversion; Baptism; Holy Spirit Baptism; Highway; Ministry; Address; Phone; Inactive; Transfer,,Membership Card Drawers,image/png,image,/objects/membershipcards2/id_2102.png,/objects/small/id_2102.png,/objects/thumbs/id_2102.png,,,
id_2103,,Transferred Membership Card,,1971-04-04,membership card,Victor A. Fitzmaurice; Wife: Johanna Fitzmaurice,Members; Family; Birthday; Conversion; Baptism; Holy Spirit Baptism; Highway; Ministry; Address; Phone; Inactive; Transfer,,Membership Card Drawers,image/png,image,/objects/membershipcards2/id_2103.png,/objects/small/id_2103.png,/objects/thumbs/id_2103.png,,,
id_2104,,Transferred Membership Card,,1896-01-20,membership card,Henrietta M. Flack,Members; Family; Birthday; Conversion; Baptism; Holy Spirit Baptism; Highway; Ministry; Address; Phone; Inactive; Transfer,,Membership Card Drawers,image/png,image,/objects/membershipcards2/id_2104.png,/objects/small/id_2104.png,/objects/thumbs/id_2104.png,,,
id_2105,,Transferred Membership Card,,1894-08-15,membership card,"Edith Foote; Father: Mandorff Lundell, Mother: Natalie Lundell, Husband: Alward M. Foote, Sons: Alward N. Foote, Howard E. Foote, William F. Foote, Daughter: Edith Mack",Members; Family; Birthday; Conversion; Baptism; Holy Spirit Baptism; Highway; Ministry; Address; Phone; Inactive; Transfer,,Membership Card Drawers,image/png,image,/objects/membershipcards2/id_2105.png,/objects/small/id_2105.png,/objects/thumbs/id_2105.png,,,
id_2106,,Transferred Membership Card,,1950-11-28,membership card,"Lauretta B. (Mrs. Gene) Foster; Father: Edward, Mother: Gladys",Members; Family; Birthday; Conversion; Baptism; Holy Spirit Baptism; Highway; Ministry; Address; Phone; Inactive; Transfer,,Membership Card Drawers,image/png,image,/objects/membershipcards2/id_2106.png,/objects/small/id_2106.png,/objects/thumbs/id_2106.png,,,
id_2107,,Transferred Membership Card,,1968-07-07,membership card,Mrs. Virginia Frattone,Members; Family; Birthday; Conversion; Baptism; Holy Spirit Baptism; Highway; Ministry; Address; Phone; Inactive; Transfer,,Membership Card Drawers,image/png,image,/objects/membershipcards2/id_2107.png,/objects/small/id_2107.png,/objects/thumbs/id_2107.png,,,
id_2108,,Transferred Membership Card,,1902-08-03,membership card,"Anna Frey; Husband: Frederick E. Frey, Son: Frederick C. Frey",Members; Family; Birthday; Conversion; Baptism; Holy Spirit Baptism; Highway; Ministry; Address; Phone; Inactive; Transfer,,Membership Card Drawers,image/png,image,/objects/membershipcards2/id_2108.png,/objects/small/id_2108.png,/objects/thumbs/id_2108.png,,,
id_2109,,Transferred Membership Card,,1967-01-01,membership card,Frederick W. Frye; Wife: Phyllis Frye,Members; Family; Birthday; Conversion; Baptism; Holy Spirit Baptism; Highway; Ministry; Address; Phone; Inactive; Transfer,,Membership Card Drawers,image/png,image,/objects/membershipcards2/id_2109.png,/objects/small/id_2109.png,/objects/thumbs/id_2109.png,,,
id_2110,,Transferred Membership Card,,1967-01-01,membership card,Phyllis Frye; Husband: Frederick Frye,Members; Family; Birthday; Conversion; Baptism; Holy Spirit Baptism; Highway; Ministry; Address; Phone; Inactive; Transfer,,Membership Card Drawers,image/png,image,/objects/membershipcards2/id_2110.png,/objects/small/id_2110.png,/objects/thumbs/id_2110.png,,,
id_2111,,Transferred Membership Card,,1892-05-27,membership card,"Ruby M. Garrish; Father: James T. Anthony, Mother: Mary Anthony, Husband: David E. Garrish, Son: Harold Garrish",Members; Family; Birthday; Conversion; Baptism; Holy Spirit Baptism; Highway; Ministry; Address; Phone; Inactive; Transfer,,Membership Card Drawers,image/png,image,/objects/membershipcards2/id_2111.png,/objects/small/id_2111.png,/objects/thumbs/id_2111.png,,,
id_2112,,Transferred Membership Card,,1934-11-12,membership card,"Martha Gawryluk; Husband: Walter Gawryluk, Daughter: Linda Gawryluk, Son: Walter Gawryluk, Jr.",Members; Family; Birthday; Conversion; Baptism; Holy Spirit Baptism; Highway; Ministry; Address; Phone; Inactive; Transfer,,Membership Card Drawers,image/png,image,/objects/membershipcards2/id_2112.png,/objects/small/id_2112.png,/objects/thumbs/id_2112.png,,,
id_2113,,Transferred Membership Card,,1926-10-27,membership card,"Walter Gawryluk; Wife: Martha Gawryluk, Daughter: Linda Gawryluk, Son: Walter Gawryluk, Jr.",Members; Family; Birthday; Conversion; Baptism; Holy Spirit Baptism; Highway; Ministry; Address; Phone; Inactive; Transfer,,Membership Card Drawers,image/png,image,/objects/membershipcards2/id_2113.png,/objects/small/id_2113.png,/objects/thumbs/id_2113.png,,,
id_2114,,Transferred Membership Card,,1953-12-07,membership card,"Martin W. Gehm; Father: Walter Gehm, Mother: Rose (Enzana) Gehm",Members; Family; Birthday; Conversion; Baptism; Holy Spirit Baptism; Highway; Ministry; Address; Phone; Inactive; Transfer,,Membership Card Drawers,image/png,image,/objects/membershipcards2/id_2114.png,/objects/small/id_2114.png,/objects/thumbs/id_2114.png,,,
id_2115,,Transferred Membership Card,,1906-05-30,membership card,"Ida R. Gerhart; Stepfather: Charles Vetter, Mother: Ida Vetter, Husband: Rolland C. Gerhart, Sr., Son: Roland Gerhart, Jr., Daughter: Ruth E. Gerhart, Sister: Eva",Members; Family; Birthday; Conversion; Baptism; Holy Spirit Baptism; Highway; Ministry; Address; Phone; Inactive; Transfer,,Membership Card Drawers,image/png,image,/objects/membershipcards2/id_2115.png,/objects/small/id_2115.png,/objects/thumbs/id_2115.png,,,
id_2116,,Transferred Membership Card,,06-13,membership card,"Joan (Mrs. John) Getzinger; Mother: Beatrice Herkus, Brother: Robert Herkus, Sister: Sandy Herkus, Husband: John Getzinger, Daughters: Joan Getzinger and Sandra Getzinger",Members; Family; Birthday; Conversion; Baptism; Holy Spirit Baptism; Highway; Ministry; Address; Phone; Inactive; Transfer,,Membership Card Drawers,image/png,image,/objects/membershipcards2/id_2116.png,/objects/small/id_2116.png,/objects/thumbs/id_2116.png,,,
id_2117,,Transferred Membership Card,,1921-06-23,membership card,"Constantino Gherman; Father: Basilio Gherman, Mother: Matronia Gherman, Wife: Nadia Gherman, Daughters: Raguel Gherman and Rosalie Gherman",Members; Family; Birthday; Conversion; Baptism; Holy Spirit Baptism; Highway; Ministry; Address; Phone; Inactive; Transfer,,Membership Card Drawers,image/png,image,/objects/membershipcards2/id_2117.png,/objects/small/id_2117.png,/objects/thumbs/id_2117.png,,,
id_2118,,Transferred Membership Card,,1925-04-25,membership card,"Nadia Gherman; Husband: Constantino Gherman, Daughters: Raguel Gherman and Rosalie Gherman; Father: Dimitri Dementsuk, Mother: Euddquia Dementsuk",Members; Family; Birthday; Conversion; Baptism; Holy Spirit Baptism; Highway; Ministry; Address; Phone; Inactive; Transfer,,Membership Card Drawers,image/png,image,/objects/membershipcards2/id_2118.png,/objects/small/id_2118.png,/objects/thumbs/id_2118.png,,,
id_2119,,Transferred Membership Card,,1906-08-06,membership card,"Mary A. Gill; Father: Frank Boguseweki, Mother: Anna Boguseweki, Husband: Frank Gill",Members; Family; Birthday; Conversion; Baptism; Holy Spirit Baptism; Highway; Ministry; Address; Phone; Inactive; Transfer,,Membership Card Drawers,image/png,image,/objects/membershipcards2/id_2119.png,/objects/small/id_2119.png,/objects/thumbs/id_2119.png,,,
id_2120,,Transferred Membership Card,,1947-10-07,membership card,"Luba Golubkowicz; Father: Artemiucz Golubkowicz, Mother: Afra Golubkowicz",Members; Family; Birthday; Conversion; Baptism; Holy Spirit Baptism; Highway; Ministry; Address; Phone; Inactive; Transfer,,Membership Card Drawers,image/png,image,/objects/membershipcards2/id_2120.png,/objects/small/id_2120.png,/objects/thumbs/id_2120.png,,,
id_2121,,Transferred Membership Card,,1957-11-16,membership card,James Gordon,Members; Family; Birthday; Conversion; Baptism; Holy Spirit Baptism; Highway; Ministry; Address; Phone; Inactive; Transfer,,Membership Card Drawers,image/png,image,/objects/membershipcards2/id_2121.png,/objects/small/id_2121.png,/objects/thumbs/id_2121.png,,,
id_2122,,Transferred Membership Card,,1922-08-01,membership card,"George Goshgarian; Wife: Mary Goshgarian, Son: Jack Goshgarian, Daughter: Helene Goshgarian",Members; Family; Birthday; Conversion; Baptism; Holy Spirit Baptism; Highway; Ministry; Address; Phone; Inactive; Transfer,,Membership Card Drawers,image/png,image,/objects/membershipcards2/id_2122.png,/objects/small/id_2122.png,/objects/thumbs/id_2122.png,,,
id_2123,,Transferred Membership Card,,1953-04-18,membership card,"Helene E. Goshgarian; Father: George Goshgarian, Mother: Mary Goshgarian, Brother: Jack Goshgarian",Members; Family; Birthday; Conversion; Baptism; Holy Spirit Baptism; Highway; Ministry; Address; Phone; Inactive; Transfer,,Membership Card Drawers,image/png,image,/objects/membershipcards2/id_2123.png,/objects/small/id_2123.png,/objects/thumbs/id_2123.png,,,
id_2124,,Transferred Membership Card,,1950-12-08,membership card,"Jack Goshgarian; Father: George Goshgarian, Mother: Mary Goshgarian, Sister: Helene Goshgarian",Members; Family; Birthday; Conversion; Baptism; Holy Spirit Baptism; Highway; Ministry; Address; Phone; Inactive; Transfer,,Membership Card Drawers,image/png,image,/objects/membershipcards2/id_2124.png,/objects/small/id_2124.png,/objects/thumbs/id_2124.png,,,
id_2125,,Transferred Membership Card,,1927-07-15,membership card,"Mary C. Goshgarian; Husband: George Goshgarian, Son: Jack Goshgarian, Daughter: Helene Goshgarian",Members; Family; Birthday; Conversion; Baptism; Holy Spirit Baptism; Highway; Ministry; Address; Phone; Inactive; Transfer,,Membership Card Drawers,image/png,image,/objects/membershipcards2/id_2125.png,/objects/small/id_2125.png,/objects/thumbs/id_2125.png,,,
id_2126,,Transferred Membership Card,,1941-08-27,membership card,"Glenn Graham; Father: Spencer Graham, Mother: Erma Graham, Wife: Patricia Graham, Son: David Graham",Members; Family; Birthday; Conversion; Baptism; Holy Spirit Baptism; Highway; Ministry; Address; Phone; Inactive; Transfer,,Membership Card Drawers,image/png,image,/objects/membershipcards2/id_2126.png,/objects/small/id_2126.png,/objects/thumbs/id_2126.png,,,
id_2127,,Transferred Membership Card,,1957-03,membership card,"Debra C. Grant; Father: Curtiss Grant, Mother: Paulson",Members; Family; Birthday; Conversion; Baptism; Holy Spirit Baptism; Highway; Ministry; Address; Phone; Inactive; Transfer,,Membership Card Drawers,image/png,image,/objects/membershipcards2/id_2127.png,/objects/small/id_2127.png,/objects/thumbs/id_2127.png,,,
id_2128,,Transferred Membership Card,,1952-10-28,membership card,"David Bruce Grigsby; Father: Billy Grigsby, Mother: Charlotte Grigsby",Members; Family; Birthday; Conversion; Baptism; Holy Spirit Baptism; Highway; Ministry; Address; Phone; Inactive; Transfer,,Membership Card Drawers,image/png,image,/objects/membershipcards2/id_2128.png,/objects/small/id_2128.png,/objects/thumbs/id_2128.png,,,
id_2129,,Transferred Membership Card,,1942-05-03,membership card,"Dorothy R. Grossglass; Father: Pastor Roberson, Mother: Helen Roberson, Sister: Betty Roberson, Brother: Wilbur Roberson, Husband: Ronald Grossglass, Daughter: Pamela Lee Grossglass",Members; Family; Birthday; Conversion; Baptism; Holy Spirit Baptism; Highway; Ministry; Address; Phone; Inactive; Transfer,,Membership Card Drawers,image/png,image,/objects/membershipcards2/id_2129.png,/objects/small/id_2129.png,/objects/thumbs/id_2129.png,,,
id_2130,,Transferred Membership Card,,1960-04-21,membership card,"John Grossman; Father: Charles Grossman, Mother: Anna Grossman",Members; Family; Birthday; Conversion; Baptism; Holy Spirit Baptism; Highway; Ministry; Address; Phone; Inactive; Transfer,,Membership Card Drawers,image/png,image,/objects/membershipcards2/id_2130.png,/objects/small/id_2130.png,/objects/thumbs/id_2130.png,,,
id_2131,,Transferred Membership Card,,1915-12-24,membership card,"Mrs. Luise Haecker; Husband: Eugene Haecker, Daughter: Margaret Huber, Son: Ernest Haecker",Members; Family; Birthday; Conversion; Baptism; Holy Spirit Baptism; Highway; Ministry; Address; Phone; Inactive; Transfer,,Membership Card Drawers,image/png,image,/objects/membershipcards2/id_2131.png,/objects/small/id_2131.png,/objects/thumbs/id_2131.png,,,
id_2132,,Transferred Membership Card,,08-07,membership card,Miss Carolyn Haines,Members; Family; Birthday; Conversion; Baptism; Holy Spirit Baptism; Highway; Ministry; Address; Phone; Inactive; Transfer,,Membership Card Drawers,image/png,image,/objects/membershipcards2/id_2132.png,/objects/small/id_2132.png,/objects/thumbs/id_2132.png,,,
id_2133,,Transferred Membership Card,,1914-07-18,membership card,"Mrs. Elsie R. Haines; Husband: Albert Haines, Daughter: Alberta Haines, Son: Wayne Haines",Members; Family; Birthday; Conversion; Baptism; Holy Spirit Baptism; Highway; Ministry; Address; Phone; Inactive; Transfer,,Membership Card Drawers,image/png,image,/objects/membershipcards2/id_2133.png,/objects/small/id_2133.png,/objects/thumbs/id_2133.png,,,
id_2134,,Transferred Membership Card,,1945-07-08,membership card,"Susan G. Haines; Father: John E., Mother: Olive, Husband: Wayne Haines, Sons: Wayne Haines, Jr., Robert T. Haines, and Craig Haines",Members; Family; Birthday; Conversion; Baptism; Holy Spirit Baptism; Highway; Ministry; Address; Phone; Inactive; Transfer,,Membership Card Drawers,image/png,image,/objects/membershipcards2/id_2134.png,/objects/small/id_2134.png,/objects/thumbs/id_2134.png,,,
id_2135,,Transferred Membership Card,,09-25,membership card,"Wayne G. Haines; Wife: Susan Haines, Sons: Wayne Haines, Jr., Robert T. Haines, and Craig Haines, Mother: Elsie Haines, Father: Albert Haines",Members; Family; Birthday; Conversion; Baptism; Holy Spirit Baptism; Highway; Ministry; Address; Phone; Inactive; Transfer,,Membership Card Drawers,image/png,image,/objects/membershipcards2/id_2135.png,/objects/small/id_2135.png,/objects/thumbs/id_2135.png,,,
id_2136,,Transferred Membership Card,,1954-10-14,membership card,"Carol Halter; Father: Ronald Halter, Mother: Ruth Halter, Sister: Beth Halter",Members; Family; Birthday; Conversion; Baptism; Holy Spirit Baptism; Highway; Ministry; Address; Phone; Inactive; Transfer,,Membership Card Drawers,image/png,image,/objects/membershipcards2/id_2136.png,/objects/small/id_2136.png,/objects/thumbs/id_2136.png,,,
id_2137,,Transferred Membership Card,,1910-08-24,membership card,"Eleanor M. (Mrs. R. Dale) Harris; Mother: Ella, Brother: Walter",Members; Family; Birthday; Conversion; Baptism; Holy Spirit Baptism; Highway; Ministry; Address; Phone; Inactive; Transfer,,Membership Card Drawers,image/png,image,/objects/membershipcards2/id_2137.png,/objects/small/id_2137.png,/objects/thumbs/id_2137.png,,,
id_2138,,Transferred Membership Card,,1901-10-07,membership card,Dale R. Harris; Wife: Eleanor Harris,Members; Family; Birthday; Conversion; Baptism; Holy Spirit Baptism; Highway; Ministry; Address; Phone; Inactive; Transfer,,Membership Card Drawers,image/png,image,/objects/membershipcards2/id_2138.png,/objects/small/id_2138.png,/objects/thumbs/id_2138.png,,,
id_2139,,Transferred Membership Card,,1961-07-13,membership card,"Virginia (Doak) Hauser; Mother: Shirley Doak, Father: Thomas Doak, Daughter: Irene Hauser, Son: Dan Hauser, Daughter: Virginia Hauser",Members; Family; Birthday; Conversion; Baptism; Holy Spirit Baptism; Highway; Ministry; Address; Phone; Inactive; Transfer,,Membership Card Drawers,image/png,image,/objects/membershipcards2/id_2139.png,/objects/small/id_2139.png,/objects/thumbs/id_2139.png,,,
id_2140,,Transferred Membership Card,,1930-08-21,membership card,Willa Mae Hayes,Members; Family; Birthday; Conversion; Baptism; Holy Spirit Baptism; Highway; Ministry; Address; Phone; Inactive; Transfer,,Membership Card Drawers,image/png,image,/objects/membershipcards2/id_2140.png,/objects/small/id_2140.png,/objects/thumbs/id_2140.png,,,
id_2141,,Transferred Membership Card,,1930-01-14,membership card,"Frederick Hientz, Jr.; Father: Fred W. Heintz, Mother: Johanna E. Heintz, Wife: Mildred Heintz, Sons: Fred R. (Ricky) Heintz and David Heintz",Members; Family; Birthday; Conversion; Baptism; Holy Spirit Baptism; Highway; Ministry; Address; Phone; Inactive; Transfer,,Membership Card Drawers,image/png,image,/objects/membershipcards2/id_2141.png,/objects/small/id_2141.png,/objects/thumbs/id_2141.png,,,
id_2142,,Transferred Membership Card,,1934-01-04,membership card,"Mildred Heintz; Father: William Johnson, Husband: Fred Heintz, Jr., Sons: Fred R. (Ricky) Heintz and David Heintz",Members; Family; Birthday; Conversion; Baptism; Holy Spirit Baptism; Highway; Ministry; Address; Phone; Inactive; Transfer,,Membership Card Drawers,image/png,image,/objects/membershipcards2/id_2142.png,/objects/small/id_2142.png,/objects/thumbs/id_2142.png,,,
id_2143,,Transferred Membership Card,,1953-09-21,membership card,"Robert Heintz; Deceased Wife: Alberta H. Heintz, Daughter: Linda Heintz, Son: Robert Heintz, Father: Fred Heintz, Sr., Mother: Johanna Heintz, Brother: Fred Heintz, Jr., Wife: Natalie Heintz",Members; Family; Birthday; Conversion; Baptism; Holy Spirit Baptism; Highway; Ministry; Address; Phone; Inactive; Transfer,,Membership Card Drawers,image/png,image,/objects/membershipcards2/id_2143.png,/objects/small/id_2143.png,/objects/thumbs/id_2143.png,,,
id_2144,,Transferred Membership Card,,1937-06-17,membership card,"Thomas E. Hepworth; Father: Frederick E. Hepworth, Mother: Gladys Hepworth",Members; Family; Birthday; Conversion; Baptism; Holy Spirit Baptism; Highway; Ministry; Address; Phone; Inactive; Transfer,,Membership Card Drawers,image/png,image,/objects/membershipcards2/id_2144.png,/objects/small/id_2144.png,/objects/thumbs/id_2144.png,,,
id_2145,,Transferred Membership Card,,1931-07-17,membership card,"Russell Herbert, Jr.",Members; Family; Birthday; Conversion; Baptism; Holy Spirit Baptism; Highway; Ministry; Address; Phone; Inactive; Transfer,,Membership Card Drawers,image/png,image,/objects/membershipcards2/id_2145.png,/objects/small/id_2145.png,/objects/thumbs/id_2145.png,,,
id_2146,,Transferred Membership Card,,1956-01-16,membership card,"Robert Herkus; Mother: Beatrice Herkus, Sisters: Joan Herkus, Sandy Herkus",Members; Family; Birthday; Conversion; Baptism; Holy Spirit Baptism; Highway; Ministry; Address; Phone; Inactive; Transfer,,Membership Card Drawers,image/png,image,/objects/membershipcards2/id_2146.png,/objects/small/id_2146.png,/objects/thumbs/id_2146.png,,,
id_2147,,Transferred Membership Card,,1952-06-15,membership card,"Keith Arnold Hibbets; Mother: Mrs. Virgil F. Hibbets, Father: Virgil F. Hibbets",Members; Family; Birthday; Conversion; Baptism; Holy Spirit Baptism; Highway; Ministry; Address; Phone; Inactive; Transfer,,Membership Card Drawers,image/png,image,/objects/membershipcards2/id_2147.png,/objects/small/id_2147.png,/objects/thumbs/id_2147.png,,,
id_2148,,Transferred Membership Card,,1958-05-17,membership card,"Joseph Hinkle; Father: William Hinkle, Mother: Ganotta Hinkle, Sister: Cathy Christie (Hinkle)",Members; Family; Birthday; Conversion; Baptism; Holy Spirit Baptism; Highway; Ministry; Address; Phone; Inactive; Transfer,,Membership Card Drawers,image/png,image,/objects/membershipcards2/id_2148.png,/objects/small/id_2148.png,/objects/thumbs/id_2148.png,,,
id_2149,,Transferred Membership Card,,1952-01-21,membership card,Mary Hoffman; Husband: Winfield Hoffman,Members; Family; Birthday; Conversion; Baptism; Holy Spirit Baptism; Highway; Ministry; Address; Phone; Inactive; Transfer,,Membership Card Drawers,image/png,image,/objects/membershipcards2/id_2149.png,/objects/small/id_2149.png,/objects/thumbs/id_2149.png,,,
id_2150,,Transferred Membership Card,,1946-01-21,membership card,Winfield Hoffman; Wife: Mary Hoffman,Members; Family; Birthday; Conversion; Baptism; Holy Spirit Baptism; Highway; Ministry; Address; Phone; Inactive; Transfer,,Membership Card Drawers,image/png,image,/objects/membershipcards2/id_2150.png,/objects/small/id_2150.png,/objects/thumbs/id_2150.png,,,
id_2151,,Transferred Membership Card,,1949-04-12,membership card,"Woodroe (Woodrow) Wayne Holmes; Mother: Mary Holmes, Father: Woodroe Holmes",Members; Family; Birthday; Conversion; Baptism; Holy Spirit Baptism; Highway; Ministry; Address; Phone; Inactive; Transfer,,Membership Card Drawers,image/png,image,/objects/membershipcards2/id_2151.png,/objects/small/id_2151.png,/objects/thumbs/id_2151.png,,,
id_2152,,Transferred Membership Card,,1955-03-16,membership card,"Judith Hoover; Father: Charles Hoover, Mother: Gladys Hoover",Members; Family; Birthday; Conversion; Baptism; Holy Spirit Baptism; Highway; Ministry; Address; Phone; Inactive; Transfer,,Membership Card Drawers,image/png,image,/objects/membershipcards2/id_2152.png,/objects/small/id_2152.png,/objects/thumbs/id_2152.png,,,
id_2153,,Transferred Membership Card,,1953-12-25,membership card,Steven Hortegas; Mother: Lucille (DiDonna) Hortegas,Members; Family; Birthday; Conversion; Baptism; Holy Spirit Baptism; Highway; Ministry; Address; Phone; Inactive; Transfer,,Membership Card Drawers,image/png,image,/objects/membershipcards2/id_2153.png,/objects/small/id_2153.png,/objects/thumbs/id_2153.png,,,
id_2154,,Transferred Membership Card,,1972-04-02,membership card,"Isaura Hreczany; Husband: Nick Hreczany, Daughter: Mildred Hreczany, Son: Mark Hreczany",Members; Family; Birthday; Conversion; Baptism; Holy Spirit Baptism; Highway; Ministry; Address; Phone; Inactive; Transfer,,Membership Card Drawers,image/png,image,/objects/membershipcards2/id_2154.png,/objects/small/id_2154.png,/objects/thumbs/id_2154.png,,,
id_2155,,Transferred Membership Card,,1972-04-02,membership card,"Nick Hreczany; Wife: Isaura Hreczany, Daughter: Mildred Hreczany, Son: Mark Hreczany",Members; Family; Birthday; Conversion; Baptism; Holy Spirit Baptism; Highway; Ministry; Address; Phone; Inactive; Transfer,,Membership Card Drawers,image/png,image,/objects/membershipcards2/id_2155.png,/objects/small/id_2155.png,/objects/thumbs/id_2155.png,,,
id_2156,,Transferred Membership Card,,1932-06-25,membership card,"Louis F. Huff, Jr.; Wife: Mary Ellen Huff, Daughter: Mary Lou Huff, Son: Gary Huff, Father Louis Huff, Sr., Mother: Harriet Huff, Sister: Caroline Huff",Members; Family; Birthday; Conversion; Baptism; Holy Spirit Baptism; Highway; Ministry; Address; Phone; Inactive; Transfer,,Membership Card Drawers,image/png,image,/objects/membershipcards2/id_2156.png,/objects/small/id_2156.png,/objects/thumbs/id_2156.png,,,
id_2157,,Transferred Membership Card,,1930-08-26,membership card,"Mary Ellen Huff; Husband: Louis F. Huff, Jr., Daughter: Mary Lou Huff, Son: Gary Huff, Father: Louis Fischer, Mother: Julia Fischer",Members; Family; Birthday; Conversion; Baptism; Holy Spirit Baptism; Highway; Ministry; Address; Phone; Inactive; Transfer,,Membership Card Drawers,image/png,image,/objects/membershipcards2/id_2157.png,/objects/small/id_2157.png,/objects/thumbs/id_2157.png,,,
id_2158,,Transferred Membership Card,,1898-06-15,membership card,"Alexander Hunter; Wife: Audrey Hunter, Son: Alexander L. Hunter",Members; Family; Birthday; Conversion; Baptism; Holy Spirit Baptism; Highway; Ministry; Address; Phone; Inactive; Transfer,,Membership Card Drawers,image/png,image,/objects/membershipcards2/id_2158.png,/objects/small/id_2158.png,/objects/thumbs/id_2158.png,,,
id_2159,,Transferred Membership Card,,1908-07-25,membership card,"Audrey Hunter; Husband: Alexander Hunter, Son: Alexander L. Hunter",Members; Family; Birthday; Conversion; Baptism; Holy Spirit Baptism; Highway; Ministry; Address; Phone; Inactive; Transfer,,Membership Card Drawers,image/png,image,/objects/membershipcards2/id_2159.png,/objects/small/id_2159.png,/objects/thumbs/id_2159.png,,,
id_2160,,Transferred Membership Card,,1948-08-25,membership card,"Jonathan B. Jackson; Father: T. Brooks Jackson, Mother: Jenney Jackson",Members; Family; Birthday; Conversion; Baptism; Holy Spirit Baptism; Highway; Ministry; Address; Phone; Inactive; Transfer,,Membership Card Drawers,image/png,image,/objects/membershipcards2/id_2160.png,/objects/small/id_2160.png,/objects/thumbs/id_2160.png,,,
id_2161,,Transferred Membership Card,,1940-05-26,membership card,M. C. Jacob (Rev M. K. Chacko); Wife: Accumma Jacob; Sons: Jose Jacob and Job Jacob,Members; Family; Birthday; Conversion; Baptism; Holy Spirit Baptism; Highway; Ministry; Address; Phone; Inactive; Transfer,,Membership Card Drawers,image/png,image,/objects/membershipcards2/id_2161.png,/objects/small/id_2161.png,/objects/thumbs/id_2161.png,,,
id_2162,,Transferred Membership Card,,1894-01-07,membership card,Eugenia Johanson,Members; Family; Birthday; Conversion; Baptism; Holy Spirit Baptism; Highway; Ministry; Address; Phone; Inactive; Transfer,,Membership Card Drawers,image/png,image,/objects/membershipcards2/id_2162.png,/objects/small/id_2162.png,/objects/thumbs/id_2162.png,,,
id_2163,,Transferred Membership Card,,1935-01-21,membership card,Mary John,Members; Family; Birthday; Conversion; Baptism; Holy Spirit Baptism; Highway; Ministry; Address; Phone; Inactive; Transfer,,Membership Card Drawers,image/png,image,/objects/membershipcards2/id_2163.png,/objects/small/id_2163.png,/objects/thumbs/id_2163.png,,,
id_2164,,Transferred Membership Card,,1943-10-05,membership card,"Jean R. Kaniuka; Father: William Kaniuka, Mother: Katherine Kaniuka, Brother: Stephen Kaniuka",Members; Family; Birthday; Conversion; Baptism; Holy Spirit Baptism; Highway; Ministry; Address; Phone; Inactive; Transfer,,Membership Card Drawers,image/png,image,/objects/membershipcards2/id_2164.png,/objects/small/id_2164.png,/objects/thumbs/id_2164.png,,,
id_2165,,Transferred Membership Card,,1958-04-06,membership card,"Stephen Kaniuka; Father: William Kaniuka, Mother: Katherine Kaniuka, Wife: Oletha J. Kaniuka, Sister: Jean Kaniuka, Daughters: Joy Collette Kaniuka and Tania Beth Kaniuka",Members; Family; Birthday; Conversion; Baptism; Holy Spirit Baptism; Highway; Ministry; Address; Phone; Inactive; Transfer,,Membership Card Drawers,image/png,image,/objects/membershipcards2/id_2165.png,/objects/small/id_2165.png,/objects/thumbs/id_2165.png,,,
id_2166,,Transferred Membership Card,,1960-02-07,membership card,Robert R. Kates,Members; Family; Birthday; Conversion; Baptism; Holy Spirit Baptism; Highway; Ministry; Address; Phone; Inactive; Transfer,,Membership Card Drawers,image/png,image,/objects/membershipcards2/id_2166.png,/objects/small/id_2166.png,/objects/thumbs/id_2166.png,,,
id_2167,,Transferred Membership Card,,1942-12-26,membership card,"John David Kehler; Wife: Nancy Kehler, Daughter: Cindy Jo Kehler, Sons: Scott Kehler and Johnathan Kehler",Members; Family; Birthday; Conversion; Baptism; Holy Spirit Baptism; Highway; Ministry; Address; Phone; Inactive; Transfer,,Membership Card Drawers,image/png,image,/objects/membershipcards2/id_2167.png,/objects/small/id_2167.png,/objects/thumbs/id_2167.png,,,
id_2168,,Transferred Membership Card,,1944-10-30,membership card,"Nancy Kehler; Husband: J. David. Kehler, Daughter: Cindy Jo Kehler, Sons: Scott Kehler and Johnathan Kehler, Father: John Rummler, Mother: Elsie Rummler, Sister: Doris Luff (Rummler)",Members; Family; Birthday; Conversion; Baptism; Holy Spirit Baptism; Highway; Ministry; Address; Phone; Inactive; Transfer,,Membership Card Drawers,image/png,image,/objects/membershipcards2/id_2168.png,/objects/small/id_2168.png,/objects/thumbs/id_2168.png,,,
id_2169,,Transferred Membership Card,,1959-09-01,membership card,Thomas W. Keinath,Members; Family; Birthday; Conversion; Baptism; Holy Spirit Baptism; Highway; Ministry; Address; Phone; Inactive; Transfer,,Membership Card Drawers,image/png,image,/objects/membershipcards2/id_2169.png,/objects/small/id_2169.png,/objects/thumbs/id_2169.png,,,
